Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate
Saudi Arabia,2020,34223743,1.62,15.9,1.99,76.2,14.8
Senegal,2020,17005241,2.68,88.3,4.48,69.4,47.1
Serbia,2020,6856660,-0.8,88.5,1.45,73.9,5.6
Seychelles,2020,95726,0.71,210.4,1.83,75.6,16.1
Sierra Leone,2020,8256139,2.66,115.3,3.99,58.1,101.7
Singapore,2020,5810285,0.97,"8,195.00",1.14,86,2
Sint Maarten,2020,43991,1.31,"1,293.90",2.02,78.8,9.4
Slovakia,2020,5492134,0.04,114.2,1.59,77,6.3
Slovenia,2020,2102452,0,104.3,1.59,81.4,2
Solomon Islands,2020,678494,1.78,24.2,2.97,76.2,26.9
Somalia,2020,11818529,2.27,18.8,5.51,54.9,146.6
South Africa,2020,58012938,1.07,47.8,2.42,68.2,29.8
South Sudan,2020,10560984,2.76,16.4,5.54,55.5,111.1
Spain,2020,47041387,0.13,94.3,1.24,82.1,3.1
Sri Lanka,2020,21367989,0.91,330.6,2.18,77.1,8.1
Sudan,2020,45544096,2.68,24.5,4.72,66.5,65
Suriname,2020,618093,1.2,4,1.96,72.1,40.1
Sweden,2020,10382678,0.47,25.3,1.66,82.5,2.8
Switzerland,2020,8585698,0.74,214.7,1.52,83.1,4.2
Syria,2020,19392460,4.63,104.3,2.9,73.7,19.2
Taiwan,2020,23563036,0.04,730.4,1.06,80.7,4.9
Tajikistan,2020,9603246,2.05,67.9,3.72,68.5,32.8
Tanzania,2020,60362612,2.84,68.1,4.51,69.6,45.1
Thailand,2020,69291926,0.29,135.6,1.54,77.2,9
Timor-Leste,2020,1382948,2.24,93,4.44,69.3,44.7
Togo,2020,8076517,2.54,148.5,4.33,70.6,64.4
Tonga,2020,106010,-0.2,147.9,2.87,77,15.2
Trinidad and Tobago,2020,1400824,0.22,273.2,1.63,75.4,19.6
Tunisia,2020,11719458,0.81,75.4,2.06,76.3,14.2
Turkey,2020,82009212,0.45,106.6,1.96,75.7,23.4
Turkmenistan,2020,5522684,1.04,11.8,2.04,71.3,48.1
Turks and Caicos Islands,2020,56095,1.97,59.2,1.7,80.4,14.7
Tuvalu,2020,11350,0.86,436.5,2.88,67.8,49.6
Uganda,2020,43249944,3.34,219.4,5.54,68.2,45.2
Ukraine,2020,43508029,-0.58,75.1,1.22,71.2,10.1
United Arab Emirates,2020,9792173,0.69,117.1,1.66,79.2,5.8
United Kingdom,2020,67022855,0.61,277,1.62,81.7,4.4
United States,2020,331511512,--,36.2,--,--,--
Uruguay,2020,3389361,0.26,19.4,1.77,77.9,11
